confirmed artifacts

TICID     ! 2MASS            ! comments
----------+------------------+------------
269701145 ! 20080397+6651023 ! near TOI 1339
 27462105 ! 14274226+4157123 ! near 158025009 ! 14274177+4157124 !
178819687 ! 12575199-3945275 !
178819685 ! 12575242-3945196 !
 94986318 ! 05272486-1416301 !
233087859 ! 18084971+6040417 ! near TOI-1184   NEW
233087857 ! 18084897+6040463 ! near TOI-1184   NEW
 64071892 ! 02363253-2214346 ! 


Artifact candidates till sector 23 (included) as by May 8th 2020

TOI     !  TICIDTOI ! TICIDArti ! qual ! rdist ! tessmag ! tessmag ! d(tessmag)
1059.01 ! 380783252 ! 380778762 !  UDU !  0.71 !    9.78 !   14.82 ! -5.04
 283.01 ! 382626661 ! 382627409 !  AUU !  5.61 !    9.68 !   15.87 ! -6.20
1405.01 ! 387834907 ! 387834904 !  DUU ! 13.90 !    8.42 !   17.01 ! -8.58
1622.01 ! 388076005 ! 388076004 !  UUD !  2.30 !    9.39 !    8.01 !  1.39
 576.01 ! 408310006 ! 408310005 !  AUU !  6.47 !    8.87 !   15.16 ! -6.29
 973.01 ! 409459226 ! 318792670 !  DUU !  4.44 !   10.58 !   15.46 ! -4.88
1394.01 ! 431156009 !  65982841 !  UUC !  5.70 !    9.44 !   11.19 ! -1.75
1475.01 ! 431514478 ! 431514477 !  AUU !  5.90 !    8.78 !   15.57 ! -6.79
1548.01 ! 440100539 ! 440100538 !  AUU !  5.74 !    8.73 !   15.20 ! -6.47
 197.01 ! 441462736 ! 441462737 !  DUU ! 17.33 !    7.36 !   16.92 ! -9.57
 968.01 ! 453209605 ! 453209604 !  DUU !  6.77 !   10.58 !   16.62 ! -6.04
 839.01 ! 466840711 ! 466840733 !  UCU ! 19.42 !   14.15 !   17.66 ! -3.51
1351.01 ! 1718201850 ! 258777134 !  UCU !  5.28 !   10.33 !   10.45 ! -0.12

1835 stars, 107 with 115 artifacts

mean distance  : 8.75 +- 4.94
mean d(tessmag): -5.74 +- 2.11
